models,Accuracy,Precision,Recall,AUC_ROC
Logistic Regression,0.8401374659999999,0.7892274029999999,0.6373399160000001,0.878731565
Logistic Regression_RS CV,0.837738812,0.797625777,0.615351068,0.8771882240000001
Bagged_LR,0.840451099,0.7904636820000001,0.637012305,0.879199266
Boosted_LR,0.806719379,0.7570478740000001,0.5235674579999999,0.855314685
Logistic Regression_OC,0.82844805,0.7164903,0.7086785870000001,0.794234601
Logistic Regression_RS CV_OC,0.82844805,0.7164903,0.7086785870000001,0.794234601
Bagged_LR_OC,0.829625752,0.717419921,0.7130396859999999,0.796321675
Boosted_LR_OC,0.812614499,0.78528827,0.516790231,0.7281090809999999
Naive Bayes Classifier,0.5905088239999999,0.411543155,0.843610777,0.808660078
Bagged_NB,0.548154071,0.389115926,0.86383968,0.8080959090000001
boosted_NB,0.590291408,0.411325602,0.843021129,0.808558413
Naive Bayes Classifier_OC,0.644333944,0.446861715,0.779328391,0.682896575
Bagged_NB_OC,0.611881706,0.42409203700000003,0.8198866109999999,0.671300569
boosted_NB_OC,0.645511646,0.44810379200000006,0.78325338,0.68485907
K-Nearest Neighbor Classifier,0.721760992,0.5558904729999999,0.359718098,0.6827738809999999
Knn with Randomsearch CV,0.76425557,0.5730211820000001,0.84069349,0.88295213
K-Nearest Neighbor Classifier_OC,0.8164093170000001,0.6831275720000001,0.7239424329999999,0.789995146
Knn with Randomsearch CV_OC,0.833251546,0.715145754,0.7383055279999999,0.806126965
Decision Tree Classifier,0.7791310159999999,0.631316346,0.632950771,0.737394676
Decision Tree Classifier with Randomsearch CV,0.814996565,0.6871008940000001,0.7039581290000001,0.785702197
boosted_DT,0.8118630720000001,0.754999298,0.552239501,0.8328850640000001
Decision Tree Classifier_OC,0.804501439,0.660635304,0.716528565,0.779371032
Decision Tree Classifier with Randomsearch CV_OC,0.8119540679999999,0.683972912,0.693817468,0.778204303
boosted_DT_OC,0.857890605,0.7584582440000001,0.772350632,0.833455182
Random Forest Classifier,0.831752705,0.822453474,0.559962532,0.873447058
Random Forest Classifier with Randomsearch CV,0.758072431,0.835600907,0.241086032,0.823796318
Boosted_RF,0.864386683,0.81982285,0.7024094320000001,0.912479385
Random Forest Classifier_OC,0.832242868,0.7204535540000001,0.7204535540000001,0.8003090359999999
Random Forest Classifier with Randomsearch CV_OC,0.765138875,0.606683805,0.617598953,0.722989045
Boosted_RF_OC,0.85710547,0.814562598,0.6781508940000001,0.80598515
